pinyin,1,2,3,4
a,阿,,,
ai,埃,,,艾爱
an,安,,,
ang,,昂,,
ao,,,,奥
ba,芭,,,
bai,,,,拜
bang,邦,,,
bao,,,保,
bei,卑,,,蓓贝
ben,,,比,
bo,波,伯,,
bu,,,,布
cha,,查,,刹
chai,,柴,,
chuan,川,,,
cui,崔,,,
da,,荙妲,,
dai,,,,代黛
dan,丹,,,但
dao,,,,道
deng,,,,邓
di,,迪,,蒂
du,,,,度杜
dun,敦,,,顿
duo,,,朵,
e,,娥,,厄
en,恩,,,
fa,,法,,
fan,,梵,,范
fei,菲,,,
fo,,佛,,
gan,干甘,,,
gang,冈,,,
gao,高,,,
ge,歌,格,,
gu,,,古,
ha,哈,,,
hai,,,海,
han,,,,汉
hao,,豪,,
he,,,,赫
hei,黑,,,
heng,亨,,,
hou,,侯,,
hu,呼,胡,,
hua,,,,华
huai,,怀,,
hui,,,,惠
huo,,,,霍
ji,姬,,己,
jia,迦,,,
jie,,捷,,
jin,金,,,
jing,京,,,
ju,居,,,
ka,,,卡,
kai,开,,凯,
kang,康,,,
ke,科柯,,可,克
ken,,,肯,
ku,,,,库
kua,夸,,,
kun,昆,,,
la,菈,,,
lai,莱,,,
lan,,兰,,
lang,,,朗,
lao,,劳,,
lei,,蕾,,
li,,,,莉
lian,,莲,,
lie,,,,列
lin,,琳,,
lu,,卢,鲁,露
luo,,,,洛
ma,,,玛,
mai,,,,麦
man,,,,蔓
mang,,芒,,
mei,,梅,美,
meng,,萌,,梦
mi,,弥,米,密
ming,,明,,
mo,,,,默墨莫
mu,,,姆,
na,,,,娜
nan,,楠,,
ni,,尼,,
niu,,,纽,
nuo,,挪,,诺
ou,欧,,,
pa,,,,帕
pan,潘,,,
pang,,庞,,
pei,,,裴,佩
peng,,彭,,
pi,,皮,,
qiang,,蔷,,
qiao,,乔,,
qie,,,,契
qiong,,琼,,
rui,,,,瑞
sa,,,,萨
sai,,,,塞
sang,桑,,,
sha,莎,,,
shan,姗,,,
shi,施,,史,士
shu,舒,,,
su,苏,,,
suo,,,索,
tai,,,,泰
tang,汤,,,
tao,,陶,,
te,,,,特
teng,,藤,,
tong,通,,,
tuo,托,,,
wa,,,瓦,
wei,威,维,,
wen,,文,,
wo,,,,沃
wu,乌,,,
xi,茜希,,,
xia,,,,夏
xiang,香,,,
xiao,肖,,,
xie,歇,,,谢
xin,辛新,,,
xiu,修休,,,
xu,,,许,
xue,薛,,,
ya,,,雅,娅
ye,耶,,,叶
yi,伊,,,
yin,茵,,,
you,优,尤,,
yu,,于,雨,
yue,约,,,
zha,扎,,,
zhan,詹,,,
zhu,朱,,,
zu,,,祖,
zuo,,,佐,
