pinyin,1,2,3,4
a,阿,,,
ai,埃,,,艾爱
an,安,,,
ang,,昂,,
ao,,,,奥
ba,巴芭,,,
bai,,,,拜
bang,邦,,,
bao,,,保,鲍
bei,卑,,北,贝蓓
ben,,,本苯,
bi,,,比,
bo,波,博伯,,
bu,,,,布
cha,,查,,刹
chai,,柴,,
che,,,,彻
chuan,川,,,
ci,,茨,,
cui,崔,,,
da,,达妲荙,,大
dai,,,,代戴黛
dan,丹,,,但
dang,当,,,
dao,,,,道
de,,德,,
den,登,,,
deng,,,,邓
di,,狄迪,,地蒂
din,丁,,,
dian,,,典,
du,,,,度杜
dun,敦,,,顿
duo,多,,朵,
e,,俄娥,,厄
en,恩蒽,,,
er,,,尔儿,
fa,,法,,
fan,,梵,,范
fei,菲,,,
fen,芬,,,
feng,,冯,,
fo,,佛,,
fu,夫芙,福弗,,
ga,嘎,,,
gai,该,,,盖
gan,干甘,,,
gang,冈,,,
gao,高,,,
ge,歌戈,格革,,
gen,根,,,
gong,,,,贡
gou,,,苟,
gu,,,古,
gui,圭,,,
guo,,,果菓,
ha,哈,,,
hai,,,海,亥
han,,,,汉翰
hao,,豪,,
he,,,,赫
hei,黑,,,
heng,亨,,,
hou,,侯,,
hu,呼,胡,,
hua,,,,华
huai,,怀,,
hui,,,,惠
huo,,,,霍
ji,基姬,吉,几己,
jia,迦,,,
jian,,,简,
jie,,杰捷,,
jin,金,,,
jing,京,,,
ju,居,,,
jue,,爵蕨,,
ka,,,卡,
kai,开,,凯,
kang,康,,,
ke,柯科,,可,克
ken,,,肯,
kou,,,,蔻
ku,,,,库
kua,夸,,,
kui,,奎葵,,
kun,昆,,,
la,拉菈,,,
lai,莱,,,赖
lan,,兰,,
lang,,,朗,
lao,,劳,,
le,,,,勒
lei,,雷蕾,,
leng,,,冷,
li,,,里,利莉
lian,,廉莲,,
lie,,,,列
lin,,林琳,,
liu,,留流琉,,
long,,隆,,
lu,,卢,鲁,路露
lüe,,,,略
lun,,仑,,
luo,,罗,,洛
ma,,,马玛,
mai,,,,麦迈
man,,,,曼蔓
mang,,芒,,
mei,,梅,美,
men,,门,,
meng,,蒙萌,,梦
mi,,弥,米,密
miao,,,,缪
min,,,敏,
ming,,明,,
miu,,,,谬
mo,,摩,,默墨莫
mu,,,姆,穆
na,,拿,,纳娜
nai,,,,奈
nan,,南楠,,
nei,,,,内
ni,,尼,,
nie,,,,涅
niu,,,纽,
nong,,侬,,
nu,,,努奴,
nuo,,挪,,诺
ou,欧,,,
pa,,,,帕
pai,,,,派
pan,潘,,,
pang,,庞,,
pei,,,裴,佩
peng,,彭,,
pi,,皮,,
ping,,平,,
po,泊,婆,,
pu,,,普,
qi,,奇齐琪,,
qia,,,,恰
qiang,,强蔷,,
qiao,,乔,,
qie,,,,契
qiong,,琼,,
qiu,,求球,,
rang,,,,让
re,,,,热
ri,,,,日
rui,,,,瑞
sa,,,,萨撒
sai,,,,塞
san,,,,散
sang,桑,,,
se,,,,瑟
sen,森,,,
sha,沙莎,,,
shan,杉姗,,,
she,,,舍,
shen,,什,,
sheng,,,,圣
shi,施,,史,士
shu,舒,,,
si,斯,,,
su,苏,,,
suo,,,索,
ta,,,塔,
tai,,,,泰
tan,,,坦,
tang,汤,唐,,
tao,,陶,,
te,,,,特
teng,,藤,,
ti,,缇,,
ting,汀,廷,,
tong,通,,,
tu,,图,,
tuo,托,,,
wa,,,瓦,
wan,,,,万
wei,威,维,韦,卫
wen,温,文,,
wo,,,,沃
wu,乌,,伍,
xi,西希茜,,,
xia,,,,夏
xiang,香,,,
xiao,肖,,,
xie,歇,,,谢
xin,辛新,,,
xiu,修休,,,
xu,,,许,
xue,薛,,,
xun,,,,逊
ya,,,雅,亚娅
yang,,杨,,
ye,耶,,,叶
yi,伊,,,
yin,因英茵,,,
ying,,,隐,
you,优,尤由,,
yu,,于,雨,
yue,约,,,
zan,,,,赞
ze,,泽,,
zha,扎,,,
zhan,詹,,,
zhi,之,,,
zhu,朱,,,
zi,兹,,,
zu,,,祖,
zuo,,,佐,
