pinyin,1,2,3,4
a,阿,,,
ai,埃,,,艾
an,安,,,
ao,,,,奥
ba,巴,,,
bao,,,保,
bei,卑,,,贝
bi,,,比,
bo,波,博伯,,
bu,,,,布
chai,,柴,,
che,,,,彻
ci,,茨,,
da,,达,,
dai,,,,代
dan,丹,,,
dang,当,,,
de,,德,,
den,登,,,
di,,迪,,地
dian,,,典,
du,,,,度
dun,敦,,,顿
duo,多,,朵,
en,恩,,,
er,,,尔儿,
fa,,法,,
fei,菲,,,
fen,芬,,,
fu,夫,福弗,,
ga,嘎,,,
gai,,,,盖
gan,干,,,
gang,冈,,,
gao,高,,,
ge,歌戈,格革,,
gen,根,,,
gou,,,苟,
gu,,,古,
gui,圭,,,
guo,,,果,
ha,哈,,,
hai,,,海,亥
han,,,,汉
hao,,豪,,
he,,,,赫
ji,基,吉,几,
jia,迦,,,
jie,,捷,,
jue,,爵,,
ka,,,卡,
kai,,,凯,
ke,科,,可,克
ku,,,,库
kun,昆,,,
la,拉,,,
lai,莱,,,赖
lan,,兰,,
lang,,,朗,
lao,,劳,,
le,,,,勒
lei,,雷,,
leng,,,冷,
li,,,里,利
lian,,廉,,
lie,,,,列
lin,,林,,
liu,,流,,
long,,隆,,
lu,,,鲁,路
lüe,,,,略
lun,,仑,,
luo,,罗,,洛
ma,,,马,
mai,,,,麦迈
man,,,,曼
mei,,梅,,
men,,门,,
meng,,,,梦
mi,,,米,密
miao,,,,缪
min,,,敏,
miu,,,,谬
mo,,,,默墨莫
na,,,,纳
nai,,,,奈
nei,,,,内
ni,,尼,,
nie,,,,涅
niu,,,纽,
nong,,侬,,
nu,,,努,
nuo,,,,诺
ou,欧,,,
pa,,,,帕
pai,,,,派
pei,,,裴,佩
po,泊,,,
sa,,,,萨撒
sai,,,,塞
san,,,,散
sang,桑,,,
se,,,,瑟
sen,森,,,
sha,沙,,,
shan,杉,,,
shen,,什,,
shi,施,,史,士
si,斯,,,
suo,,,索,
ta,,,塔,
tan,,,坦,
te,,,,特
ti,,缇,,
ting,汀,廷,,
wa,,,瓦,
wan,,,,万
wei,威,维,,卫
wen,,文,,
wo,,,,沃
wu,乌,,,
xi,西希,,,
xia,,,,夏
xiang,香,,,
xie,歇,,,
xin,新,,,
xiu,修,,,
ya,,,雅,亚
ye,耶,,,叶
yi,伊,,,
yin,因,,,
you,,尤由,,
zan,,,,赞
ze,,泽,,
zha,扎,,,
zi,兹,,,
