pinyin,1,2,3,4
a,阿,,,
ai,埃,,,艾爱
an,安,,,
ang,,昂,,
ao,,,,奥
ba,巴,,,
bai,,,,拜
bi,,,比,
bu,,,,布
chai,,柴,,
chuan,川,,,
dao,,,,道
di,,狄,,
dun,敦,,,
e,,,,厄
fa,,法,,
fan,,梵,,
fei,菲,,,
gai,,,,盖
ge,歌,格革,,
gu,,,古,
ha,哈,,,
hai,,,海,
han,,,,汉
hao,,豪,,
hei,黑,,,
huo,,,,霍
jia,迦,,,
ka,,,卡,
kai,,,凯,
ke,科,,可,克
ku,,,,库
kui,,奎,,
kun,昆,,,
la,拉,,,
lai,莱,,,
lan,,兰,,
lang,,,朗,
lao,,劳,,
lei,,雷,,
li,,,里,利
lie,,,,列
lin,,林,,
lu,,卢,鲁,路
luo,,罗,,洛
ma,,,马,
mai,,,,麦迈
man,,,,曼
mei,,梅,,
meng,,蒙,,梦
mi,,,米,密
ming,,明,,
mo,,摩,,默墨
mu,,,,穆
ni,,尼,,
niu,,,纽,
nuo,,,,诺
ou,欧,,,
pa,,,,帕
pei,,,裴,佩
peng,,彭,,
pu,,,普,
qi,,齐,,
qiao,,乔,,
qie,,,,契
qiong,,琼,,
rui,,,,瑞
sa,,,,萨
sai,,,,塞
sha,沙,,,
shan,杉,,,
shi,施,,史,
suo,,,索,
tai,,,,泰
te,,,,特
wa,,,瓦,
wei,威,维,,
wen,,文,,
wo,,,,沃
wu,乌,,伍,
xi,西希,,,
xia,,,,夏
xie,歇,,,
xin,辛新,,,
xiu,修休,,,
ya,,,雅,亚
ye,,,,叶
yi,伊,,,
yu,,,雨,
zha,扎,,,
zuo,,,佐,
