pinyin,1,2,3,4
a,阿,,,
ai,埃,,,艾爱
an,安,,,
ang,,昂,,
ao,,,,奥
ba,巴,,,
bai,,,,拜
bang,邦,,,
bao,,保,,鲍
bei,,,,贝
bi,,,比,
bo,波,博伯,,
bu,,,,布
cha,,查,,刹
chai,,柴,,
chuan,川,,,
cui,崔,,,
da,,达,,大
dai,,,,戴
dan,,,,但
dao,,,,道
deng,,,,邓
di,,狄,,
du,,,,杜
dun,敦,,,
duo,多,,朵,
e,,俄,,厄
en,恩,,,
fa,,法,,
fan,,梵,,范
fei,菲,,,
fo,,佛,,
gai,该,,,盖
gan,甘,,,
gao,高,,,
ge,歌,格革,,
gu,,,古,
ha,哈,,,
hai,,,海,
han,,,,汉
hao,,豪,,
hei,黑,,,
heng,亨,,,
hou,,侯,,
hu,呼,胡,,
hua,,,,华
huai,,怀,,
hui,,,,惠
huo,,,,霍
ji,基,吉,,
jia,迦,,,
jie,,杰,,
ju,居,,,
ka,,,卡,
kai,开,,凯,
kang,康,,,
ke,科,,可,克
ken,,,肯,
ku,,,,库
kui,,奎,,
kun,昆,,,
la,拉,,,
lai,莱,,,
lan,,兰,,
lang,,,朗,
lao,,劳,,
lei,,雷,,
li,,,,利
lie,,,,列
lin,,林,,
lu,,卢,鲁,路
luo,,罗,,洛
ma,,,马,
mai,,,,麦迈
man,,,,曼
mang,,芒,,
mei,,梅,美,
meng,,蒙,,梦
mi,,,米,密
ming,,明,,
mo,,摩,,默墨
mu,,,,穆
na,,拿,,
nan,,南,,
ni,,尼,,
niu,,,纽,
nuo,,挪,,诺
ou,欧,,,
pa,,,,帕
pan,潘,,,
pang,,庞,,
pei,,,裴,佩
peng,,彭,,
pi,,皮,,
pu,,,普,
qi,,齐,,
qiang,,强,,
qiao,,乔,,
qie,,,,契
qiong,,琼,,
rui,,,,瑞
sa,,,,萨
sai,,,,塞
sang,桑,,,
sha,沙,,,
shan,杉,,,
shi,施,,史,
shu,舒,,,
su,苏,,,
suo,,,索,
tai,,,,泰
tang,,唐,,
tao,,陶,,
te,,,,特
teng,,藤,,
tong,通,,,
tuo,托,,,
wa,,,瓦,
wei,威,维,韦,
wen,温,文,,
wo,,,,沃
wu,乌,,伍,
xi,西希,,,
xia,,,,夏
xiang,香,,,
xiao,肖,,,
xie,歇,,,谢
xin,辛新,,,
xiu,修休,,,
xu,,,许,
xue,薛,,,
ya,,,雅,亚
ye,,,,叶
yi,伊,,,
yin,因英,,,
yu,,,雨,
yue,约,,,
zha,扎,,,
zhan,詹,,,
zhu,朱,,,
zu,,,祖,
zuo,,,佐,
